NomeAzienda;Citta;Provincia;Fatturato;DataIndagine
TRANSPEED PLUS S.R.L. IN LIQUIDAZIONE;Cesena;FC;€ 4'422'678;2023-05-18
CENTRO INFISSI DUE S.R.L.;Cesena;FC;€ 4'416'573;2023-05-18
RULEDESIGNER SRL;Cesena;FC;€ 4'414'255;2023-05-18
PUBBLISOLE S.P.A.;Cesena;FC;€ 4'397'524;2023-05-18
MORETTI MULTIPNEUS - S.R.L. - IN LIQUIDAZIONE;Cesena;FC;€ 4'395'474;2023-05-18
NUOVA MADONNINA S.P.A. IN LIQUIDAZIONE;Cesena;FC;€ 4'262'373;2023-05-18
S.I.L.A. S.R.L. - SOCIETA' LITOGRAFICA;Cesena;FC;€ 4'229'558;2023-05-18
CESENA CUSCINETTI - SOCIETA' A RESPONSABILITA;Cesena;FC;€ 4'222'621;2023-05-18
I.M.A. SERVICE S.R.L.;Cesena;FC;€ 4'181'308;2023-05-18
TIR IBERICA S.R.L.;Cesena;FC;€ 4'167'447;2023-05-18
LINKER ROMAGNA SOCIETA' COOPERATIVA;Cesena;FC;€ 4'158'612;2023-05-18
TGB S.R.L.;Cesena;FC;€ 4'136'803;2023-05-18
VIAGGI MANUZZI SRL;Cesena;FC;€ 4'038'593;2023-05-18
OFFICINA MECCANICA CESENA CAR S.R.L.;Cesena;FC;€ 4'029'700;2023-05-18
EGOENERGIA S.R.L.;Cesena;FC;€ 3'981'046;2023-05-18
SAPORI TIPICI SRL;Cesena;FC;€ 3'858'554;2023-05-18
DEVELOP S.R.L.;Cesena;FC;€ 3'856'139;2023-05-18
FRATELLI TERRANOVA S.R.L.;Cesena;FC;€ 3'782'933;2023-05-18
OFFICINA SOMA S.R.L.;Cesena;FC;€ 3'759'671;2023-05-18
MEDIATIP SRL;Cesena;FC;€ 3'694'343;2023-05-18
CO.M.I.TEL. - S.R.L.;Cesena;FC;€ 3'693'197;2023-05-18
VENTRUCCI SRL;Cesena;FC;€ 3'661'658;2023-05-18
ESSEGICOLOR S.R.L.;Cesena;FC;€ 3'633'814;2023-05-18
TISSELLI S.R.L.;Cesena;FC;€ 3'626'119;2023-05-18
HIPPOBINGO FIRENZE SOCIETA' A RESPONSABILITA';Cesena;FC;€ 3'620'720;2023-05-18
O.T.E. ENERGIA RINNOVABILE SOCIETA' A RESPONS;Cesena;FC;€ 3'618'322;2023-05-18
DASPI S.R.L.;Cesena;FC;€ 3'605'425;2023-05-18
EOLICA PIETRAMONTECORVINO S.R.L.;Cesena;FC;€ 3'574'852;2023-05-18
MACRO SOCIETA' COOPERATIVA IN FORMA ABBREVIAT;Cesena;FC;€ 3'568'874;2023-05-18
ASCOM SERVIZI S.R.L.;Cesena;FC;€ 3'558'722;2023-05-18
PENTA S.R.L.;Cesena;FC;€ 3'554'874;2023-05-18
DOMENICONI AUTOTRASPORTI S.R.L.;Cesena;FC;€ 3'524'355;2023-05-18
PARCO GIARDINO S.R.L.;Cesena;FC;€ 3'500'000;2023-05-18
PROMER OVERSEAS - S.R.L.;Cesena;FC;€ 3'488'227;2023-05-18
SOCIETA' AGRICOLA SERRAVALLE S.R.L.;Cesena;FC;€ 3'475'056;2023-05-18
RAICA S.R.L.;Cesena;FC;€ 3'460'450;2023-05-18
SAR ELETTRONICA S.R.L.;Cesena;FC;€ 3'436'489;2023-05-18
VERDE ITALIA SRL;Cesena;FC;€ 3'323'691;2023-05-18
ROSSI VERNICICOLOR SRL;Cesena;FC;€ 3'305'942;2023-05-18
MONTEODORISIO ENERGY S.R.L.;Cesena;FC;€ 3'300'335;2023-05-18
TUTTO LUCE S.R.L.;Cesena;FC;€ 3'299'792;2023-05-18
RICCI TIR SERVICE S.R.L.;Cesena;FC;€ 3'298'287;2023-05-18
GENCOLD S.R.L.;Cesena;FC;€ 3'295'276;2023-05-18
SOLO AFFITTI S.P.A.;Cesena;FC;€ 3'287'274;2023-05-18
COOP. SVILUPPO COMMERCIO E TURISMO - COOP. A;Cesena;FC;€ 3'282'018;2023-05-18
CAMAETI ARTE S.P.A.;Cesena;FC;€ 3'267'958;2023-05-18
SAN LORENZO ENERGY S.R.L.;Cesena;FC;€ 3'261'475;2023-05-18
PESCINA WIND SRL;Cesena;FC;€ 3'240'890;2023-05-18
AGRICOLA S.R.L.;Cesena;FC;€ 3'233'445;2023-05-18
LACINOX S.R.L..;Cesena;FC;€ 3'203'613;2023-05-18
MITO SISTEMA AMBIENTE SRL;Cesena;FC;€ 3'168'875;2023-05-18
NUOVA DIMENSIONE TRASPORTI - S.R.L.;Cesena;FC;€ 3'140'758;2023-05-18
MPC SRL;Cesena;FC;€ 3'116'930;2023-05-18
ARANCIONE SRL;Cesena;FC;€ 3'090'453;2023-05-18
GS COOP SOCIETA' COOPERATIVA;Cesena;FC;€ 3'068'956;2023-05-18
CARROZZERIE E OFFICINE F.LLI BATTISTINI & C.;Cesena;FC;€ 3'058'287;2023-05-18
NUOVA COMEGA SRL;Cesena;FC;€ 3'056'561;2023-05-18
CYCLE CLUB S.R.L.;Cesena;FC;€ 2'983'738;2023-05-18
GAUTIER ITALIA S.R.L.;Cesena;FC;€ 2'856'912;2023-05-18
GAUTIER ITALIA S.R.L.;Cesena;FC;€ 2'856'912;2023-05-18
ARRIGONI GRANDI CUCINE S.R.L.;Cesena;FC;€ 2'851'673;2023-05-18
SILVIA CAMPER S.R.L.;Cesena;FC;€ 2'808'924;2023-05-18
HIPPOGROUP MODENA SRL;Cesena;FC;€ 2'800'085;2023-05-18
DON CARLO BARONIO - SOCIETA' COOPERATIVA S;Cesena;FC;€ 2'797'618;2023-05-18
FS COSTRUZIONI S.R.L.;Cesena;FC;€ 2'787'157;2023-05-18
CASSANOVA S.R.L.;Cesena;FC;€ 2'781'486;2023-05-18
G. TEAM CAR S.R.L.;Cesena;FC;€ 2'768'396;2023-05-18
IRON'S TECHNOLOGY S.R.L.;Cesena;FC;€ 2'767'282;2023-05-18
FARMACIA SANTINI S.R.L.;Cesena;FC;€ 2'743'083;2023-05-18
S.D.T. S.R.L.;Cesena;FC;€ 2'741'689;2023-05-18
DEMAR DI PESARE & C. SRL;Cesena;FC;€ 2'728'091;2023-05-18
SOCIETA' AGRICOLA B.M.C. S.R.L.;Cesena;FC;€ 2'719'681;2023-05-18
FUTURLOG SOCIETA' COOPERATIVA;Cesena;FC;€ 2'718'621;2023-05-18
LUNGO FIUME IMMOBILIARE S.R.L.;Cesena;FC;€ 2'710'410;2023-05-18
MACRO GRUPPO EDITORIALE S.R.L.;Cesena;FC;€ 2'702'735;2023-05-18
ELETTRO SANNIO WIND 2 S.R.L.;Cesena;FC;€ 2'694'595;2023-05-18
BOTTEGA 7 S.R.L.;Cesena;FC;€ 2'669'007;2023-05-18
PLT ENERGIA S.R.L.;Cesena;FC;€ 2'667'000;2023-05-18
M.P.D. S.R.L.;Cesena;FC;€ 2'665'481;2023-05-18
SIMCRO S.R.L.;Cesena;FC;€ 2'663'731;2023-05-18
CONSORZIO SOLIDARIETA' SOCIALE FORLI'-CESE;Forli';FC;€ 2'654'887;2023-05-18
MORDENTI S.R.L.;Cesena;FC;€ 2'645'091;2023-05-18
SATI S.R.L.;Cesena;FC;€ 2'637'067;2023-05-18
EURO PACK IMBALL SRL;Cesena;FC;€ 2'622'969;2023-05-18
PAKFRUT S.R.L.;Cesena;FC;€ 2'622'029;2023-05-18
CANTINA SOCIALE DI CESENA - SOCIETA' AGRICOL;Cesena;FC;€ 2'621'610;2023-05-18
